Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Corporate Profits,1947-03-31T00:00:00,9.959,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1947-06-30T00:00:00,13.603,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1947-09-30T00:00:00,13.868,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1947-12-31T00:00:00,14.455,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1948-03-31T00:00:00,17.971,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1948-06-30T00:00:00,19.109,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1948-09-30T00:00:00,18.762,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1948-12-31T00:00:00,20.713,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1949-03-31T00:00:00,20.168,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1949-06-30T00:00:00,19.144,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1949-09-30T00:00:00,19.987,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1949-12-31T00:00:00,16.892,Quarterly,UNITEDSTACORPRO,2024-09-26T15:03:00
United States,Corporate Profits,1950-03-31T00:00:00,16.616,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1950-06-30T00:00:00,17.781,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1950-09-30T00:00:00,18.717,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1950-12-31T00:00:00,20.208,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-03-31T00:00:00,14.668,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-06-30T00:00:00,18.564,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-09-30T00:00:00,21.229,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1951-12-31T00:00:00,21.114,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-03-31T00:00:00,20.498,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-06-30T00:00:00,19.757,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-09-30T00:00:00,19.764,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1952-12-31T00:00:00,22.212,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-03-31T00:00:00,22.056,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-06-30T00:00:00,21.133,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-09-30T00:00:00,20.434,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1953-12-31T00:00:00,17.777,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-03-31T00:00:00,20.412,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-06-30T00:00:00,21.235,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-09-30T00:00:00,22.235,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1954-12-31T00:00:00,24.565,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-03-31T00:00:00,27.672,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-06-30T00:00:00,28.727,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-09-30T00:00:00,28.289,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1955-12-31T00:00:00,28.826,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-03-31T00:00:00,27.736,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-06-30T00:00:00,27.546,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-09-30T00:00:00,28.581,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1956-12-31T00:00:00,28.358,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-03-31T00:00:00,29.315,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-06-30T00:00:00,28.933,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-09-30T00:00:00,28.476,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1957-12-31T00:00:00,26.315,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-03-31T00:00:00,23.138,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-06-30T00:00:00,23.932,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-09-30T00:00:00,25.851,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1958-12-31T00:00:00,28.745,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
United States,Corporate Profits,1959-03-31T00:00:00,31.469,Quarterly,UNITEDSTACORPRO,2019-08-29T12:53:00
